,"Activity, Exercise or Sport (1 hour)",130 lb,155 lb,180 lb,205 lb,Calories per kg
0,"Cycling, mountain bike, bmx",502,598,695,791,1.75072971940299
1,"Cycling, <10 mph, leisure bicycling",236,281,327,372,0.823235629850746
2,"Cycling, >20 mph, racing",944,1126,1308,1489,3.29497352835821
3,"Cycling, 10-11.9 mph, light",354,422,490,558,1.23485344477612
4,"Cycling, 12-13.9 mph, moderate",472,563,654,745,1.64782526567164
5,"Cycling, 14-15.9 mph, vigorous",590,704,817,931,2.05944308059702
6,"Cycling, 16-19 mph, very fast, racing",708,844,981,1117,2.47106089552239
7,Unicycling,295,352,409,465,1.02972154029851
8,"Stationary cycling, very light",177,211,245,279,0.61742672238806
9,"Stationary cycling, light",325,387,449,512,1.13262599402985
10,"Stationary cycling, moderate",413,493,572,651,1.44133935522388
11,"Stationary cycling, vigorous",620,739,858,977,2.16234753432836
12,"Stationary cycling, very vigorous",738,880,1022,1163,2.57464235223881
13,"Calisthenics, vigorous, pushups, situps…",472,563,654,745,1.64782526567164
14,"Calisthenics, light",207,246,286,326,0.721008179104478
15,"Circuit training, minimal rest",472,563,654,745,1.64782526567164
16,"Weight lifting, body building, vigorous",354,422,490,558,1.23485344477612
17,"Weight lifting, light workout",177,211,245,279,0.61742672238806
18,Health club exercise,325,387,449,512,1.13262599402985
19,Stair machine,531,633,735,838,1.85295717014925
20,"Rowing machine, light",207,246,286,326,0.721008179104478
21,"Rowing machine, moderate",413,493,572,651,1.44133935522388
22,"Rowing machine, vigorous",502,598,695,791,1.75072971940299
23,"Rowing machine, very vigorous",708,844,981,1117,2.47106089552239
24,Ski machine,413,493,572,651,1.44133935522388
25,"Aerobics, low impact",295,352,409,465,1.02972154029851
26,"Aerobics, high impact",413,493,572,651,1.44133935522388
27,"Aerobics, step aerobics",502,598,695,791,1.75072971940299
28,"Aerobics, general",384,457,531,605,1.33843490149254
29,Jazzercise,354,422,490,558,1.23485344477612
30,"Stretching, hatha yoga",236,281,327,372,0.823235629850746
31,Mild stretching,148,176,204,233,0.515199271641791
32,Instructing aerobic class,354,422,490,558,1.23485344477612
33,Water aerobics,236,281,327,372,0.823235629850746
34,"Ballet, twist, jazz, tap",266,317,368,419,0.927494089552239
35,"Ballroom dancing, slow",177,211,245,279,0.61742672238806
36,"Ballroom dancing, fast",325,387,449,512,1.13262599402985
37,"Running, 5 mph (12 minute mile)",472,563,654,745,1.64782526567164
38,"Running, 5.2 mph (11.5 minute mile)",531,633,735,838,1.85295717014925
39,"Running, 6 mph (10 min mile)",590,704,817,931,2.05944308059702
40,"Running, 6.7 mph (9 min mile)",649,774,899,1024,2.2652519880597
41,"Running, 7 mph (8.5 min mile)",679,809,940,1070,2.36815644179104
42,"Running, 7.5mph (8 min mile)",738,880,1022,1163,2.57464235223881
43,"Running, 8 mph (7.5 min mile)",797,950,1103,1256,2.77977425671642
44,"Running, 8.6 mph (7 min mile)",826,985,1144,1303,2.88267871044776
45,"Running, 9 mph (6.5 min mile)",885,1056,1226,1396,3.08916462089552
46,"Running, 10 mph (6 min mile)",944,1126,1308,1489,3.29497352835821
47,"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675,3.70659134328358
48,"Running, cross country",531,633,735,838,1.85295717014925
49,"Running, general",472,563,654,745,1.64782526567164
50,"Running, on a track, team practice",590,704,817,931,2.05944308059702
51,"Running, stairs, up",885,1056,1226,1396,3.08916462089552
52,"Track and field (shot, discus)",236,281,327,372,0.823235629850746
53,"Track and field (high jump, pole vault)",354,422,490,558,1.23485344477612
54,Track and field (hurdles),590,704,817,931,2.05944308059702
55,Archery,207,246,286,326,0.721008179104478
56,Badminton,266,317,368,419,0.927494089552239
57,"Basketball game, competitive",472,563,654,745,1.64782526567164
58,"Playing basketball, non game",354,422,490,558,1.23485344477612
59,"Basketball, officiating",413,493,572,651,1.44133935522388
60,"Basketball, shooting baskets",266,317,368,419,0.927494089552239
61,"Basketball, wheelchair",384,457,531,605,1.33843490149254
62,"Running, training, pushing wheelchair",472,563,654,745,1.64782526567164
63,Billiards,148,176,204,233,0.515199271641791
64,Bowling,177,211,245,279,0.61742672238806
65,"Boxing, in ring",708,844,981,1117,2.47106089552239
66,"Boxing, punching bag",354,422,490,558,1.23485344477612
67,"Boxing, sparring",531,633,735,838,1.85295717014925
68,"Coaching: football, basketball, soccer…",236,281,327,372,0.823235629850746
69,"Cricket (batting, bowling)",295,352,409,465,1.02972154029851
